Time,bitbay,bitfinex,bitstamp,cex.io,coinbase,hitbtc,itbit,kraken,okcoin,others
2017-08-02 20:00:00 UTC,,2686.61639534882,2688.10670245399,2763.93316145833,2688.74236180903,2691.09165991903,2693.19134615385,2688.07767618271,2783.25514285714,2682.951970889385
2017-08-02 21:00:00 UTC,2760.925,2659.10786012192,2668.72487674883,2749.91301316726,2666.72494150034,2668.85064516129,2672.25939597316,2670.30239388145,2774.67265822785,2674.9745610282175
2017-08-02 22:00:00 UTC,,2680.81307189542,2683.68842995169,2747.95906166667,2684.3811715867,2676.92375,2686.59577777778,2682.22555587392,2768.71132653061,2683.1232382956878
2017-08-02 23:00:00 UTC,2811.99,2686.67267525035,2690.26828260869,2741.9160254386,2688.07984018265,2688.24619402985,2691.31,2686.07681857923,2790.52307017544,2673.9710843484604
2017-08-03 00:00:00 UTC,2710.16,2718.47387318565,2715.87191536748,2760.27007623762,2712.34075000001,2712.1506779661,2713.74804347826,2712.76325321888,2785.74696,2684.0836087582566
2017-08-03 01:00:00 UTC,,2707.39481302774,2707.63264084507,2758.74918103448,2708.98154471545,2706.55340206186,2709.07970588235,2709.23803061225,2767.77730923695,2700.6859563627977
2017-08-03 02:00:00 UTC,2809.99,2708.49985163205,2710.52080246913,2757.97623508772,2712.55024967147,2715.55504651162,2712.1825,2716.63323561013,2785.06022364218,2691.5059834680173
2017-08-03 03:00:00 UTC,2809.99,2714.85687103595,2715.85379679144,2765.70872857143,2717.04279296875,2719.078125,2716.39131578947,2718.05624916944,2803.87998447205,2696.7188317257323
2017-08-03 04:00:00 UTC,2809.96666666667,2714.9651459854,2715.24317241379,2767.64367692308,2716.94919765166,2720.68184381779,2718.38564102564,2723.53175419664,2808.01217105263,2697.49691159868
2017-08-03 05:00:00 UTC,,2709.48313998454,2711.84513043478,2766.52029310345,2711.45879712747,2707.35092715232,2713.475,2716.84144822007,2798.69465986394,2697.638895991045
2017-08-03 06:00:00 UTC,2711.025,2711.21021699819,2712.64943005181,2761.81287714286,2713.2294425087,2712.23658767773,2715.755,2716.83944962216,2803.2365212766,2697.7394318038973
